;;TEST RADIUS: Mon Jan 24 23:21:10 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,400,30,2011,F,39,1,78429,2011,0,RAN,BOM,2011,2011,41,101,2589.74
CMT,500,30,2011,F,39,1,78429,2011,0,RAN,BOM,2011,2011,43,100,2564.1
;;TEST RADIUS: Wed Jan 26 03:21:58 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,2048,F,2,1,4096,2048,0,RAN,BOM,2048,2048,48,6,3000
CMT,100,50,2048,F,2,1,4096,2048,0,RAN,BOM,2048,2048,47,6,3000
CMT,200,50,2048,F,2,1,4096,2048,0,RAN,BOM,2048,2048,46,6,3000
CMT,300,50,2048,F,2,1,4096,2048,0,RAN,BOM,2048,2048,47,6,3000
CMT,400,50,2048,F,2,1,4096,2048,0,RAN,BOM,2048,2048,47,6,3000
CMT,500,50,2048,F,2,1,4096,2048,0,RAN,BOM,2048,2048,47,6,3000
;;TEST RADIUS: Wed Jan 26 03:23:04 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj10EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,2018,F,2,1,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,2,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,3,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,4,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,5,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,6,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,7,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,8,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,9,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,10,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,10,50,2018,F,2,11,4036,2018,0,RAN,BOM,2018,2018,48,6,3000
CMT,100,50,2018,F,2,1,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,2,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,3,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,4,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,5,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,6,4036,2018,0,RAN,BOM,2018,2018,45,7,3500
CMT,100,50,2018,F,2,7,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,8,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,9,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,10,4036,2018,0,RAN,BOM,2018,2018,45,6,3000
CMT,100,50,2018,F,2,11,4036,2018,0,RAN,BOM,2018,2018,45,7,3500
CMT,200,50,2018,F,2,1,4036,2018,0,RAN,BOM,2018,2018,50,8,4000
